"{item:$subject} has requested to join the group {item:$object}.";"{item:$subject} has requested to join the group {item:$object}."
"Your request to join the group {item:$subject} has been approved.";"Your request to join the group {item:$subject} has been approved."
"You were promoted to officer in the group {item:$object}.";"You were promoted to officer in the group {item:$object}."
"You were set to become the owner of the group {item:$object}.";"You were set to become the owner of the group {item:$object}."
"{item:$subject} commented on {item:$owner}''s {item:$object:advgroup_poll}.";"{item:$subject} commented on {item:$owner}''s {item:$object:advgroup_poll}."
"{item:$subject} liked {item:$owner}''s {item:$object:advgroup_poll}.";"{item:$subject} liked {item:$owner}''s {item:$object:advgroup_poll}."
"The group {item:$subject} invitation has been cancel, please contact group owner for more information.";"The group {item:$subject} invitation has been cancel, please contact group owner for more information."

# mail templates

# notify_advgroup_accepted
"_EMAIL_NOTIFY_ADVGROUP_ACCEPTED_TITLE";"Group Approved"
"_EMAIL_NOTIFY_ADVGROUP_ACCEPTED_DESCRIPTION";"This email is sent to the member when they are approved to join a group."
"_EMAIL_NOTIFY_ADVGROUP_ACCEPTED_SUBJECT";"You have been approved to join the group [object_title]"
"_EMAIL_NOTIFY_ADVGROUP_ACCEPTED_BODY";"[header]

You have been approved to join the group ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_advgroup_approve
"_EMAIL_NOTIFY_ADVGROUP_APPROVE_TITLE";"Group Request"
"_EMAIL_NOTIFY_ADVGROUP_APPROVE_DESCRIPTION";"This email is sent to the member when someone requests to join their group."
"_EMAIL_NOTIFY_ADVGROUP_APPROVE_SUBJECT";"[sender_title] has requested to join the group [object_title]"
"_EMAIL_NOTIFY_ADVGROUP_APPROVE_BODY";"[header]

[sender_title] has requested to join the group ""[object_title]"". Please click the following link to view it:

http://[host][object_link]

[footer]"

# notify_advgroup_discussion_reply
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_REPLY_TITLE";"Group Discussion Reply"
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_REPLY_DESCRIPTION";"This email is sent to the member when people reply to discussion topics that the member created."
"_EMAIL_NOTIFY_ADVGROUP_DISCUSSION_REPLY_SUBJECT";"A member has posted a reply to your topic ""[object_title]"" in the group ""[object_parent_title]"""
